dataset,session,animal,severity_type,severity_value,severity_unit,replicate,mask_seed,n_units_total,n_units_missing,n_bins_total,n_bins_missing,mask_source,mask_file,mask_hash,protocol_hash
Allen VBN,1072567062,546507,UNIT,0.2,proportion,2,2670096569,,262.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,5846c3efa3a37260de027f2f90f4f565e6515747ed2bc9a65c4a7c0ba040db7a,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.2,proportion,3,1308767549,,262.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,3d2a455800685b987d497eae23d30912be7089bf65614cb5cd2015e441884706,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.2,proportion,4,311486870,,262.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,43b7638a1068a70a9fca3f1072b042eb879c8dc5388861b5e04f4cf231083422,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.3,proportion,0,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_U30,,c96d518b815a738cd14946b6771df46c893fc6c57846327c2c748fe0a11d9317,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.3,proportion,1,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_U30,,4c727e1dd16171ebbcaed2c0e01f5521a86d16b67a5439faff629896ac9898e1,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.3,proportion,2,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_U30,,1f7e3a9c11b5d8ac257e6e8b85d24c899ce977d373b013a1b90fe5a30fce8965,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.3,proportion,3,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_U30,,a7531a7fd005707805b211c88b6912218d135e16bdf467ad13100a12c9aec76a,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.3,proportion,4,FORMAL_ANCHOR,,nan,25,nan,MAIN_FROZEN_U30,,364c87ace58ef1f081f01008afece854d3e5caa468ef8b90aaed3c436ec6b108,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.4,proportion,0,3688980774,,524.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,eee578e775b721cd2974899ffd1516ee58334f1ae19171b4fda1efba309ccef2,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.4,proportion,1,2237335590,,524.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,1b463e87cb58b22267487059787303becd99e359f1e8a1d315a2070536302500,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.4,proportion,2,2308181992,,524.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,4598e6648289e575a9499f02245ed839b2cc4c430a48ed4bbbdc7682fe647739,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.4,proportion,3,3679068650,,524.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,02bd074550d1cb964646832267df67ca9a5e806f44da752d2d4f28e8e9d13868,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.4,proportion,4,121167609,,524.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,460ecece6e8df3a8d0ad26093f905ffffd659848ac9e7076a640dd337adac0c6,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.5,proportion,0,24643363,,656.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,63e689915a10e1a1c83d91207a928ab6630c15d74f49ba3a08475f244ef75c34,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.5,proportion,1,168485446,,656.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,2c61126c5ca21b380192c24f2040ee70d9b201dfe98ba317032752c901ba0737,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
Allen VBN,1072567062,546507,UNIT,0.5,proportion,2,2076253048,,656.0,25,0.0,NEW_SUPP_S1_FIXED_SEED,,7062c5378cab57076967431958349f7f1fecfe7b4d6bddcc2fc9231c0d4fe482,0057520300766395bd9eca9eda3c0cdc08717c7804cff77a92ec50f66cd9582c
