dataset,animal_id,endpoint,baseline,MMRVD_value,baseline_value,paired_difference
Allen VBN,510589,Five-Missing Worst,GRU-D,0.9975833746090441,0.00274611779898846,0.9948372568100556
Allen VBN,521466,Five-Missing Worst,GRU-D,0.9970128187361282,-0.002992108499169644,1.000004927235298
Allen VBN,524760,Five-Missing Worst,GRU-D,0.9986489211692924,-0.0014522556038256162,1.000101176773118
Allen VBN,524761,Five-Missing Worst,GRU-D,0.9912836884396283,-0.0018547663875289598,0.9931384548271572
Allen VBN,527749,Five-Missing Worst,GRU-D,0.9981510096984479,-0.001159749070507724,0.9993107587689557
Allen VBN,531237,Five-Missing Worst,GRU-D,0.9975956306786893,-0.0004430564632170239,0.9980386871419064
Allen VBN,544837,Five-Missing Worst,GRU-D,0.9989257931471295,0.01410397790563643,0.984821815241493
Allen VBN,546507,Five-Missing Worst,GRU-D,0.9982916887277842,-0.0034696811713900598,1.0017613698991743
Allen VBN,563497,Five-Missing Worst,GRU-D,0.9944543159925402,0.017664353195994416,0.9767899627965457
Allen VBN,567286,Five-Missing Worst,GRU-D,0.9914331245177144,0.015298046443065979,0.9761350780746484
Allen VBN,570301,Five-Missing Worst,GRU-D,0.9784703397979004,0.009892326121311204,0.9685780136765892
Allen VBN,506940,CLEAN,TCN,0.9993131868131868,0.6078095118073275,0.39150367500585936
Allen VBN,510589,CLEAN,TCN,0.999370673379484,0.7967042138943612,0.20266645948512285
Allen VBN,521466,CLEAN,TCN,1.0,0.8809928981443906,0.11900710185560937
Allen VBN,524760,CLEAN,TCN,1.0,0.9889741968883538,0.011025803111646248
Allen VBN,524761,CLEAN,TCN,0.9940547691411913,0.8754326569512259,0.11862211218996543
Allen VBN,527749,CLEAN,TCN,0.99937343358396,0.3315859974060593,0.6677874361779007
Allen VBN,531237,CLEAN,TCN,0.9986983336298404,0.5637029012043218,0.43499543242551864
Allen VBN,544837,CLEAN,TCN,1.0,0.985241157607218,0.014758842392782023
Allen VBN,546507,CLEAN,TCN,0.9992748368382884,0.8861369681344012,0.1131378687038872
Allen VBN,563497,CLEAN,TCN,0.9994206163997745,0.9659455811020494,0.03347503529772511
Allen VBN,567286,CLEAN,TCN,0.998834839707908,0.9867791436894799,0.012055696018428042
Allen VBN,570301,CLEAN,TCN,0.9973451178808322,0.8604920528969118,0.13685306498392047
Allen VBN,506940,U30,TCN,0.999327704108006,0.4047642484575478,0.5945634556504582
Allen VBN,510589,U30,TCN,0.9991466844761818,0.49864125132062737,0.5005054331555545
Allen VBN,521466,U30,TCN,0.9994108983799705,0.7375985686722256,0.26181232970774493
Allen VBN,524760,U30,TCN,0.9988827272578561,0.8803903876978438,0.11849233956001226
Allen VBN,524761,U30,TCN,0.9943629541652201,0.6738907143501504,0.3204722398150698
Allen VBN,527749,U30,TCN,0.9993963993649462,0.2173237246853937,0.7820726746795524
Allen VBN,531237,U30,TCN,0.9980727855223515,0.3588992950441664,0.6391734904781851
Allen VBN,544837,U30,TCN,0.9998843262001156,0.840954697938761,0.1589296282613546
Allen VBN,546507,U30,TCN,0.9993354127168572,0.5982487451362137,0.4010866675806435
Allen VBN,563497,U30,TCN,0.9990879796955279,0.7966487479122542,0.20243923178327372
Allen VBN,567286,U30,TCN,0.9985473980734042,0.8561723478221598,0.14237505025124442
Allen VBN,570301,U30,TCN,0.995630323226445,0.618244104634853,0.37738621859159194
Allen VBN,506940,SW-U30,TCN,0.999327704108006,0.4047642484575478,0.5945634556504582
Allen VBN,510589,SW-U30,TCN,0.9991466844761818,0.49864125132062737,0.5005054331555545
Allen VBN,521466,SW-U30,TCN,0.9994108983799705,0.7375985686722256,0.26181232970774493
Allen VBN,524760,SW-U30,TCN,0.9988827272578561,0.8803903876978438,0.11849233956001226
Allen VBN,524761,SW-U30,TCN,0.9943629541652201,0.6738907143501504,0.3204722398150698
Allen VBN,527749,SW-U30,TCN,0.9993963993649462,0.2173237246853937,0.7820726746795524
Allen VBN,531237,SW-U30,TCN,0.9980727855223515,0.3588992950441664,0.6391734904781851
Allen VBN,544837,SW-U30,TCN,0.9994216310005785,0.817518668988747,0.18190296201183143
Allen VBN,546507,SW-U30,TCN,0.9995951900422575,0.6203077020543366,0.3792874879879209
Allen VBN,563497,SW-U30,TCN,0.9989211159002742,0.7923048280760181,0.20661628782425612
Allen VBN,567286,SW-U30,TCN,0.9988002425740363,0.8628869330206962,0.13591330955334013
Allen VBN,570301,SW-U30,TCN,0.995246072217647,0.6505978472602828,0.34464822495736425
Allen VBN,506940,T5,TCN,0.99689824647233,0.46329857980857303,0.533599666663757
Allen VBN,510589,T5,TCN,0.9992540553036824,0.7393216465350794,0.259932408768603
Allen VBN,521466,T5,TCN,0.9992552883422183,0.8344079375941661,0.16484735074805223
Allen VBN,524760,T5,TCN,0.999378056959644,0.9423739608275252,0.057004096132118764
Allen VBN,524761,T5,TCN,0.9932315873323012,0.8123475748498464,0.18088401248245478
Allen VBN,527749,T5,TCN,0.999256276289921,0.2200044406496918,0.7792518356402292
Allen VBN,531237,T5,TCN,0.9975956306786893,0.4715123994239435,0.5260832312547458
Allen VBN,544837,T5,TCN,0.9996729806071782,0.9401821335278797,0.059490847079298526
Allen VBN,546507,T5,TCN,0.9984998491750199,0.7921230825327442,0.20637676664227567
Allen VBN,563497,T5,TCN,0.9981425959613814,0.897755094049678,0.10038750191170343
Allen VBN,567286,T5,TCN,0.9988002425740363,0.953978694978875,0.044821547595161326
Allen VBN,570301,T5,TCN,0.9944137269418214,0.7370701121635871,0.2573436147782343
Allen VBN,506940,B5,TCN,0.9988801379358148,0.3474662559750499,0.6514138819607649
Allen VBN,510589,B5,TCN,0.9975833746090441,0.4550691182828926,0.5425142563261516
Allen VBN,521466,B5,TCN,0.9970128187361282,0.7393723048314558,0.25764051390467246
Allen VBN,524760,B5,TCN,0.9994192799070849,0.919550896956849,0.0798683829502359
Allen VBN,524761,B5,TCN,0.9912836884396283,0.6846519220458489,0.3066317663937794
Allen VBN,527749,B5,TCN,0.9987375285658547,0.1913981900524924,0.8073393385133624
Allen VBN,531237,B5,TCN,0.9980082025049268,0.3448842114660061,0.6531239910389207
