dataset,endpoint,baseline,n_animals,mean_difference,median_difference,SD,min,max,CI_lower,CI_upper,positive_animal_count,analysis_type
CRCNS pvc-11,J30-5,SVD,3,0.05309523809523805,0.03928571428571426,0.027070706109218842,0.0357142857142857,0.08428571428571419,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,Five-Missing Mean,SVD,3,0.029023809523809452,0.02471428571428569,0.00984220745661493,0.02207142857142852,0.04028571428571415,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,Five-Missing Worst,SVD,3,0.05309523809523805,0.03928571428571426,0.027070706109218842,0.0357142857142857,0.08428571428571419,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,CLEAN,CEBRA,3,-0.0004761904761905929,0.0014285714285713347,0.006636838030841147,-0.007857142857143007,0.004999999999999893,NA,NA,2,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,U30,CEBRA,3,0.009476190476190416,0.0071428571428571175,0.015489518070877163,-0.004714285714285893,0.026000000000000023,NA,NA,2,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,SW-U30,CEBRA,3,0.009476190476190416,0.0071428571428571175,0.015489518070877163,-0.004714285714285893,0.026000000000000023,NA,NA,2,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,T5,CEBRA,3,-0.0041428571428572996,0.0017142857142856682,0.011532562594670875,-0.017428571428571682,0.003285714285714114,NA,NA,2,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,B5,CEBRA,3,-0.0195238095238095,-0.0007142857142857784,0.03257905090427178,-0.05714285714285716,-0.0007142857142855563,NA,NA,0,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,J30-5,CEBRA,3,0.055571428571428494,0.06914285714285706,0.029381724154407846,0.021857142857142797,0.07571428571428562,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,Five-Missing Mean,CEBRA,3,0.010171428571428462,0.00774285714285694,0.013211343301751631,-0.0016571428571430236,0.024428571428571466,NA,NA,2,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,Five-Missing Worst,CEBRA,3,0.055571428571428494,0.06914285714285706,0.029381724154407846,0.021857142857142797,0.07571428571428562,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,CLEAN,GRU-D,3,0.039999999999999813,0.036428571428571366,0.014965947742683504,0.027142857142856913,0.05642857142857116,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,U30,GRU-D,3,0.962190476190476,0.9657142857142857,0.019807921180593425,0.9408571428571426,0.9799999999999999,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,SW-U30,GRU-D,3,0.962190476190476,0.9657142857142857,0.019807921180593425,0.9408571428571426,0.9799999999999999,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,T5,GRU-D,3,0.797047619047619,0.8115714285714285,0.08543100012473778,0.7052857142857141,0.8742857142857143,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,B5,GRU-D,3,0.8407142857142857,0.8414285714285712,0.052503644188391624,0.7878571428571429,0.892857142857143,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,J30-5,GRU-D,3,0.9512857142857142,0.9535714285714286,0.03833685284050176,0.9118571428571428,0.9884285714285714,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,Five-Missing Mean,GRU-D,3,0.9026857142857142,0.9202857142857142,0.0395941966475299,0.8573428571428571,0.9304285714285715,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,Five-Missing Worst,GRU-D,3,0.9565714285714285,0.9598571428571429,0.03362063263496855,0.9214285714285714,0.9884285714285714,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,CLEAN,TCN,3,0.10523809523809506,0.10785714285714265,0.04898111533911775,0.054999999999999716,0.1528571428571428,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,U30,TCN,3,0.35009523809523796,0.3357142857142855,0.05960145412096375,0.2989999999999998,0.4155714285714286,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,SW-U30,TCN,3,0.35009523809523796,0.3357142857142855,0.05960145412096375,0.2989999999999998,0.4155714285714286,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,T5,TCN,3,0.11561904761904747,0.11928571428571433,0.02910232942964015,0.08485714285714252,0.14271428571428557,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,B5,TCN,3,0.09190476190476186,0.09857142857142853,0.024962556994440475,0.06428571428571406,0.11285714285714299,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,J30-5,TCN,3,0.35742857142857143,0.33471428571428563,0.05780703297371773,0.3144285714285715,0.42314285714285715,NA,NA,3,DESCRIPTIVE_SMALL_N
