dataset,animal,model,severity_type,severity_value,severity_unit,CN_BalAcc,n_sessions_contributing
Allen VBN,567286,MM-RVD,CLEAN_REFERENCE,0.0,none,0.998834839707908,1
Allen VBN,567286,MM-RVD,TEMPORAL,2.0,bins,0.9989414495160103,1
Allen VBN,567286,MM-RVD,TEMPORAL,3.0,bins,0.9990876842085401,1
Allen VBN,567286,MM-RVD,TEMPORAL,5.0,bins,0.9988002425740363,1
Allen VBN,567286,MM-RVD,TEMPORAL,7.0,bins,0.9980049025941998,1
Allen VBN,567286,MM-RVD,TEMPORAL,10.0,bins,0.9974816327209244,1
Allen VBN,567286,MM-RVD,UNIT,0.1,proportion,0.9988348397079079,1
Allen VBN,567286,MM-RVD,UNIT,0.2,proportion,0.9990678717663265,1
Allen VBN,567286,MM-RVD,UNIT,0.3,proportion,0.9985473980734042,1
Allen VBN,567286,MM-RVD,UNIT,0.4,proportion,0.9988348397079079,1
Allen VBN,567286,MM-RVD,UNIT,0.5,proportion,0.9987614073918912,1
Allen VBN,567286,SVM,CLEAN_REFERENCE,0.0,none,0.9962616448850872,1
Allen VBN,567286,SVM,TEMPORAL,2.0,bins,0.9948741203667204,1
Allen VBN,567286,SVM,TEMPORAL,3.0,bins,0.9940310505600405,1
Allen VBN,567286,SVM,TEMPORAL,5.0,bins,0.9899984148050931,1
Allen VBN,567286,SVM,TEMPORAL,7.0,bins,0.980057133539654,1
Allen VBN,567286,SVM,TEMPORAL,10.0,bins,0.9231323393513525,1
Allen VBN,567286,SVM,UNIT,0.1,proportion,0.9947978158478046,1
Allen VBN,567286,SVM,UNIT,0.2,proportion,0.9938379311739822,1
Allen VBN,567286,SVM,UNIT,0.3,proportion,0.9916677872064688,1
Allen VBN,567286,SVM,UNIT,0.4,proportion,0.987593169272518,1
Allen VBN,567286,SVM,UNIT,0.5,proportion,0.9810681455327881,1
Allen VBN,570301,MM-RVD,CLEAN_REFERENCE,0.0,none,0.9973451178808322,1
Allen VBN,570301,MM-RVD,TEMPORAL,2.0,bins,0.9962929280677372,1
Allen VBN,570301,MM-RVD,TEMPORAL,3.0,bins,0.9948381658972618,1
Allen VBN,570301,MM-RVD,TEMPORAL,5.0,bins,0.9944137269418214,1
Allen VBN,570301,MM-RVD,TEMPORAL,7.0,bins,0.9889581849783443,1
Allen VBN,570301,MM-RVD,TEMPORAL,10.0,bins,0.9859954923796177,1
Allen VBN,570301,MM-RVD,UNIT,0.1,proportion,0.996347941205493,1
